pregunta,a,b,c,d,correcta,materia
"En un proceso civil en el que la intervención de abogado no es preceptiva, la parte contraria a la que se ha servido de dicho profesional es condenada en costas. ¿Se incluirán en la condena en costas los derechos y honorarios devengados por abogado?","No. Los derechos y honorarios devengados por abogado y procurador se excluirán siempre y en todo caso pues su intervención no es preceptiva.","Sí. La condena en costas incluirá siempre y en todo caso los derechos y honorarios devengados por abogado y procurador.","Únicamente podrán incluirse si el Tribunal aprecia temeridad en la conducta del condenado en costas, pero no en ningún otro supuesto.","Únicamente podrán incluirse si el Tribunal aprecia temeridad o abuso del servicio público de justicia en la conducta del condenado en costas o si el domicilio de la parte representada y defendida está en partido judicial distinto a aquel en que se ha tramitado el juicio.",d,Costas y Justicia Gratuita
"Carla traslada al profesional de la abogacía que le presta asistencia en un proceso civil su interés en solicitar la acumulación con otro proceso seguido ante el mismo tribunal. ¿En caso de ser denegada la acumulación solicitada por Carla se condenará a ésta en costas?","El auto que deniegue la acumulación condenará a la parte que la ha promovido al pago de las costas del incidente en todo caso.","En el incidente de acumulación no existe la posibilidad de condena en costas.","El auto que deniegue la acumulación condenará a la parte que la hubiera promovido al pago de las costas si hubiere actuado con temeridad o mala fe.","El auto que deniegue la acumulación condenará en todo caso a cada parte al pago de sus costas.",c,Costas y Justicia Gratuita
"Incoado frente a Raúl, profesional de la abogacía que presta sus servicios en el turno de oficio, un expediente disciplinario como consecuencia de una denuncia formulada por un usuario de los servicios de asistencia jurídica gratuita, ¿podrá acordarse su separación cautelar del servicio?","Sí, cuando la gravedad del hecho denunciado lo aconseje, por un periodo máximo de seis meses hasta que el expediente disciplinario se resuelva.","Sí, cuando la gravedad del hecho denunciado lo aconseje, sin límite de tiempo, hasta la resolución del expediente disciplinario.","No, la separación del profesional de la abogacía únicamente podrá acordarse cuando, resuelto el expediente disciplinario, se imponga sanción por infracción muy grave, pero en ningún caso de forma cautelar.","No, la separación del profesional de la abogacía únicamente podrá acordarse cuando, resuelto el expediente disciplinario, se imponga sanción por infracción grave o muy grave, pero en ningún caso de forma cautelar.",a,Turno de Oficio
"¿En qué condiciones se reconoce el derecho a la asistencia jurídica gratuita a las víctimas de violencia de género en aquellos procesos que sean consecuencia de su condición de víctimas?","Con independencia de la existencia de recursos para litigar.","Únicamente cuando carezcan de patrimonio suficiente.","Únicamente cuando carezcan de patrimonio suficiente y cuenten con ingresos económicos brutos que no superen dos veces el IPREM vigente, computados por unidad familiar.","Únicamente cuando carezcan de patrimonio suficiente y cuenten con ingresos económicos brutos que no superen dos veces el IPREM vigente, computados por su persona sin considerar la unidad familiar.",a,Costas y Justicia Gratuita
"¿Cuál de las siguientes respuestas, en relación con la impugnación de la resolución que, de modo definitivo, deniegue el derecho a la asistencia jurídica gratuita es correcta?","No es susceptible de impugnación.","Puede ser impugnada, siendo preceptiva la intervención de abogado, y habrá de hacerse por escrito y de forma motivada, en el plazo de diez días desde la notificación.","Puede ser impugnada, no siendo preceptiva la intervención de abogado, y podrá hacerse de forma verbal ante la Comisión de Asistencia Jurídica Gratuita, en el plazo de un mes desde la notificación.","Puede ser impugnada, no siendo preceptiva la intervención de abogado, y habrá de hacerse por escrito y de forma motivada, en el plazo de diez días desde la notificación de la resolución o desde que haya sido conocida por cualquiera de los legitimados para impugnarla.",d,Costas y Justicia Gratuita
"En relación con la extensión temporal de la asistencia jurídica gratuita, ¿cuál de las siguientes respuestas es correcta?","La asistencia jurídica gratuita en el transcurso de una misma instancia se extiende a todos sus trámites, incluida la ejecución así como a cualquier proceso distinto.","La asistencia jurídica gratuita en el transcurso de una misma instancia se extiende a todos sus trámites, con excepción de la ejecución, pero no podrá aplicarse a un proceso distinto.","El derecho a la asistencia jurídica gratuita se mantendrá para la interposición y sucesivos trámites de los recursos contra las resoluciones que pongan fin al proceso en la correspondiente instancia.","El derecho a la asistencia jurídica gratuita nunca se extiende a la interposición y sucesivos trámites de los recursos contra las resoluciones que pongan fin al proceso en la correspondiente instancia.",c,Costas y Justicia Gratuita
"En un proceso civil, ¿en qué momento se acordará la suspensión por prejudicialidad penal motivada por la posible existencia de un delito de falsedad de alguno de los documentos aportados cuando el documento pudiera ser decisivo para resolver sobre el fondo del asunto?","En ningún momento. Tal circunstancia no dará lugar a la suspensión del proceso civil con independencia de la decisión que pudiera adoptarse en el proceso penal.","Tan pronto como se acredite que se sigue causa criminal sobre aquel delito, sin esperar a la conclusión del procedimiento, salvo que la parte a la que pudiere favorecer el documento renunciare a él.","Se acordará una vez que el proceso esté pendiente únicamente de sentencia, nunca antes.","Tan pronto como se acredite que se sigue causa criminal sobre aquel delito, sin esperar a la conclusión del procedimiento, aun cuando la parte a la que pudiere favorecer el documento renunciare a él.",b,Proceso Civil
"Frente a la resolución que acuerda la suspensión de un asunto civil por prejudicialidad penal se interpone recurso de apelación. El recurso de apelación es desestimado, confirmando la suspensión. ¿Qué recurso cabe interponer frente a la resolución dictada en apelación confirmando la suspensión?","No cabe recurso alguno.","Recurso de casación.","Recurso de reposición.","Recurso directo de revisión.",a,Proceso Civil
"¿En qué plazo podrán ser rectificados los errores materiales manifiestos en que incurran las resoluciones de los tribunales?","De oficio en el plazo de un mes y a instancia de parte en el plazo de dos días hábiles al de la publicación de la resolución.","Los errores materiales manifiestos en que incurran las resoluciones de los Tribunales no pueden ser rectificados, únicamente podrán serlo los errores aritméticos.","En cualquier momento.","En el plazo de diez días desde la notificación, transcurrido el mismo no podrán ser rectificados.",c,Proceso Civil
"¿Cuál es el efecto jurídico de un acto realizado en fraude de ley?","Se tiene por no realizado.","No impide la debida aplicación de la norma que se hubiere tratado de eludir.","Queda supeditado a la ratificación judicial.","Queda en suspenso.",b,Derecho Civil
