# 2025.1 laboral
pregunta,a,b,c,d,correcta,materia
"El Proceso monitorio puede seguirse ante reclamaciones frente a empresarios que no se encuentren en situación de concurso, referidas a cantidades vencidas, exigibles y de cuantía determinada, derivadas de su relación laboral. Indique la respuesta correcta.","En reclamaciones que no excedan de 15.000 euros.","Es indiferente el importe.","Solo puede seguirse cuando se acumule con otras acciones.","En reclamaciones que no excedan de 6.000 euros.","a","Laboral"
"El artículo 50 del Estatuto de los Trabajadores establece que será causa justa para que el trabajador pueda solicitar la extinción del contrato la falta de pago o retrasos continuados en el abono del salario pactado, ¿en qué condiciones?","Cuando haya retraso en el abono del salario de tres meses.","Cuando se produzca el impago del salario y se adeuden al trabajador o trabajadora tres mensualidades completas de salario en el período de un año, aunque no sean consecutivas.","Cuando haya retraso en el abono del salario en dos meses e impago de más de dos meses.","Cuando se produzca el impago del salario y se adeuden al trabajador o trabajadora dos mensualidades completas de salario en el período de un año de carácter consecutivo.","b","Laboral"
"Rosa trabaja como técnica de laboratorio, se queda embarazada, y a los pocos días es despedida. Este despido ¿cómo puede ser calificado?","Nulo o procedente.","Nulo en todos los casos.","Improcedente o procedente.","Nulo, solo si se acredita vulneración de derechos fundamentales.","a","Laboral"
"En el procedimiento laboral, ¿cuándo se efectúa la contestación de la demanda?","Durante los veinte días posteriores a la notificación de la demanda.","En el acto de juicio.","Durante los diez días posteriores a la notificación de la demanda.","En cualquier momento anterior al juicio.","b","Laboral"
"En el supuesto de que un empresario quiera despedir por motivos disciplinarios a un representante legal de los trabajadores, ¿qué requisito formal debe cumplir el empleador con carácter previo?","Deberá tramitar un expediente contradictorio.","Deberá dar audiencia a los representantes de prevención de riesgos laborales.","Deberá formular una consulta a la comisión paritaria del convenio colectivo de la empresa.","Deberá dar audiencia previa a los representantes legales de los trabajadores.","a","Laboral"
"En el supuesto de comunicación de una modificación sustancial de las condiciones de trabajo referida a la jornada, ¿puede el trabajador o trabajadora rescindir el contrato de trabajo?","Podrá rescindir el contrato de trabajo con derecho a percibir una indemnización de 33 días por año trabajado con el límite de 24 mensualidades cuando la modificación sustancial le cause un perjuicio.","Podrá rescindir el contrato de trabajo con derecho a percibir una indemnización de 20 días por año trabajado con el límite de 9 mensualidades cuando la modificación sustancial le cause un perjuicio.","Podrá rescindir el contrato de trabajo con derecho a percibir una indemnización de 30 días por año trabajado con el límite de 12 mensualidades.","Podrá rescindir el contrato de trabajo con derecho a percibir una indemnización de 20 días por año trabajado con el límite de 12 mensualidades.","b","Laboral"
"En la jurisdicción social, ¿en cuál de estos procedimientos se exceptúa el requisito del intento de conciliación?","Derechos de conciliación de la vida personal, familiar y laboral.","Despido cuando el empleador es una empresa.","En el supuesto de extinción por voluntad del trabajador del contrato de trabajo.","En el supuesto de una reclamación de cantidad contra el empresario.","a","Laboral"
"¿Cuál es la duración máxima del contrato de trabajo de duración determinada celebrado por circunstancias de la producción?","La duración máxima del contrato de trabajo será de 6 meses, por convenio colectivo de ámbito sectorial se podrá ampliar la duración máxima del contrato hasta un año.","La duración máxima del contrato de trabajo será de 3 meses, ampliable a un año por convenio colectivo.","El contrato de trabajo se mantendrá mientras dure el pico de producción fijado en la cláusula temporal.","La duración máxima del contrato de trabajo será de 12 meses, en un período de dieciocho meses.","a","Laboral"
"¿En qué casos el contrato de trabajo se presumirá celebrado por tiempo indefinido y a jornada completa?","Se presumirá celebrado por tiempo indefinido y a jornada completa en el supuesto de no observarse la exigencia de forma escrita, salvo prueba en contrario que acredite su naturaleza temporal o el carácter a tiempo parcial de los servicios.","Por motivo de que el contrato de trabajo no indique el convenio colectivo de aplicación.","Siempre y cuando lo establezca el convenio aplicable a la relación laboral que se instrumenta.","En el supuesto de que el contrato de trabajo no esté firmado por el representante de los trabajadores en empresas de más de 50 trabajadores.","a","Laboral"
"En el supuesto de que un trabajador o trabajadora sufra un accidente de trabajo como consecuencia de falta de medidas de seguridad en el trabajo, ¿a qué recargo de las prestaciones económicas tendrá derecho?","Todas las prestaciones económicas que se deriven del accidente de trabajo se incrementarán del 10% a un 20%.","Todas las prestaciones económicas que se deriven del accidente de trabajo se incrementarán del 40% a un 60%.","Todas las prestaciones económicas que se deriven del accidente de trabajo se incrementarán del 20% a un 50%.","Todas las prestaciones económicas que se deriven del accidente de trabajo se incrementarán del 30% a un 50%.","d","Laboral"
"La Administración Pública despide a una trabajadora y esta decide acudir a la jurisdicción social en defensa de sus derechos e intereses ¿Qué debe hacer esta trabajadora?","Debe presentar con carácter preceptivo una reclamación previa administrativa ante la Administración Pública.","Debe intentar la conciliación previa.","Debe presentar directamente la demanda ante la Sección de lo Social del Tribunal de Instancia.","Es optativa la presentación de reclamación previa administrativa o el intento de conciliación ante la Administración Pública.","c","Laboral"
"Irene es sancionada por la comisión de una falta grave conocida por la empresa y acude al despacho de un graduado social para que le informe sobre la posibilidad de impugnar la sanción, ¿cuándo prescribe la comisión de la falta grave cometida por Irene?","La comisión de una falta grave prescribe a los 25 días desde que fue cometida.","La comisión de una falta grave prescribe a los 10 días a partir de la fecha en que la empresa tuvo conocimiento de su comisión.","La comisión de una falta grave prescribe a los 20 días a partir de la fecha en que la empresa tuvo conocimiento de su comisión.","La comisión de una falta grave prescribe a los 2 meses de haberse cometido, en todo caso.","c","Laboral"
