# 2022.2 laboral 
pregunta,a,b,c,d,correcta,bloque
"Joan acaba de cumplir dieciocho años y ha decidido independizarse. En el gimnasio al que acude le ofrecen prestar servicios como monitor. ¿Podría Joan suscribir contrato de trabajo?","Joan puede firmar el contrato de trabajo por sí mismo.","Joan puede firmar el contrato de trabajo con la autorización de sus padres.","Joan podría firmar el contrato solo si se trata de un contrato a tiempo parcial.","No puede contratar la prestación de sus servicios hasta que no cumpla veinte años.","a","Derecho Laboral"
"Cándido recibe una oferta de trabajo para prestar servicios como albañil en una obra con duración limitada. ¿Exige algún requisito de forma la celebración de este contrato?","No. Se podrá celebrar por escrito o de palabra.","Sí. Los contratos de trabajo para obra o servicio determinado deben constar por escrito, en todo caso.","Solo debería constar por escrito si se celebra para prestar servicios a tiempo completo.","Solo debería constar por escrito si su duración se prevé superior a siete días.","b","Derecho Laboral"
"José tiene un problema laboral y tiene que acudir a los tribunales. ¿Es preceptiva la asistencia de un profesional de la Abogacía?","José debe comparecer asistido de Abogado y representado por Procurador o bien mediante Graduado social. La representación debe conferirse mediante poder otorgado ante el Letrado de la Administración de Justicia o por escritura pública.","No. José puede comparecer por sí mismo o conferir su representación a Abogado, Procurador, Graduado social colegiado o a cualquier persona que se encuentre en el pleno ejercicio de sus derechos civiles.","No. José puede comparecer por sí mismo o conferir su representación a Abogado, pero no a Procurador ni a Graduado social.","Sí, las partes deben comparecer obligatoriamente bien mediante Abogado o mediante Procurador.","b","Derecho Laboral"
"Meritxell y su empresa acuerdan que un 15% de su salario mensual se abone en especie. ¿Este porcentaje de salario en especie está permitido en nuestra legislación?","No existe un máximo fijado en la legislación laboral.","El salario en especie podrá ser como máximo el que fije el convenio colectivo del sector.","El salario en especie será como máximo del diez por ciento de las percepciones salariales del trabajador.","El salario en especie en ningún caso podrá superar el treinta por ciento de las percepciones salariales del trabajador.","d","Derecho Laboral"
"¿Cuál es el número máximo de horas ordinarias de trabajo efectivo al día?","Nueve horas, salvo que por convenio colectivo o acuerdo entre la empresa y los representantes de los trabajadores se establezca otra distribución, respetando el descanso entre jornadas. En el caso de menores de dieciocho años el máximo será de ocho horas diarias.","Ocho horas, salvo que por convenio colectivo o acuerdo entre la empresa y los representantes de los trabajadores se establezca otra distribución, respetando el descanso entre jornadas. En el caso de menores de dieciocho años el máximo será de siete horas diarias.","Ocho horas, salvo que por convenio colectivo o acuerdo entre la empresa y los representantes de los trabajadores se establezca otra distribución, respetando el descanso entre jornadas. El mismo límite se aplica a los menores de dieciocho años.","La legislación laboral no fija el máximo remitiéndose a lo pactado en convenio colectivo del sector.","a","Derecho Laboral"
"Aitor presta servicios como personal laboral para la Diputación Foral de Álava y se plantea solicitar una reducción de jornada para conciliar su vida familiar y laboral. ¿Cuál sería el orden jurisdiccional competente?","La competencia corresponderá al orden jurisdiccional social al tratarse de personal laboral al servicio de una Administración pública.","La competencia corresponderá al orden jurisdiccional contencioso-administrativo ya que el empleador es una Administración pública.","La competencia corresponderá al orden jurisdiccional civil.","La competencia corresponderá a la Sala de lo Social del Tribunal Supremo.","a","Derecho Laboral"
"La empresa XYX decide que Nicolás, empleado en Sevilla, pase a trabajar en el centro de Cádiz para cubrir vacaciones de dos meses. ¿Con cuánta antelación debe realizar esta comunicación?","Se trata de un traslado, por lo que la comunicación debe realizarse con quince días de antelación.","El cambio es temporal, por lo que no hay traslado sino solo un desplazamiento que deberá ser informado al trabajador con una antelación suficiente a la fecha de efectividad.","La comunicación debe realizarse con treinta días de antelación a la fecha de efectividad.","Dada la duración se considera un traslado que debe comunicarse con diez días naturales de antelación.","b","Derecho Laboral"
"¿En cuál de los siguientes supuestos la legislación laboral admite la suspensión del contrato de trabajo con recíproca exoneración de las obligaciones de trabajar y remunerar?","Durante las vacaciones.","Mutuo acuerdo de las partes.","Durante el descanso entre jornadas.","Durante el descanso de fin de semana.","b","Derecho Laboral"
"Si una empresa cuenta con doce empleados ¿a quién corresponde la representación de éstos?","A los delegados de personal en número de tres.","A un solo delegado de personal.","Al comité de empresa con un máximo de tres miembros.","Al comité de empresa con un máximo de cinco miembros.","b","Derecho Laboral"
"¿Con qué frecuencia tiene derecho el comité de empresa a ser informado sobre las previsiones del empresario de celebración de nuevos contratos, incluidos los contratos a tiempo parcial?","Con una periodicidad mensual.","Con una periodicidad trimestral.","Con una periodicidad anual.","El empresario no tiene obligación de ofrecer esta información.","b","Derecho Laboral"
