# 2025.1 comun (comprobado)
pregunta,a,b,c,d,correcta,materia
"En un proceso civil declarativo en el que la participación en un medio de solución de conflictos resultaba legalmente preceptiva, Carla, parte demandada, rehúsa expresamente, sin justa causa, participar en un medio adecuado de solución de controversias al que había sido efectivamente convocada. Posteriormente, en sentencia, la parte demandante ve rechazadas sus pretensiones. ¿Habrá pronunciamiento de costas de la primera instancia a favor de Carla?","Sí, necesariamente. En los procesos declarativos, las costas de la primera instancia se impondrán a la parte que haya visto rechazadas sus pretensiones.","No, no habrá pronunciamiento de costas a favor de aquella parte que hubiere rehusado expresamente y sin justa causa participar en un medio adecuado de solución de controversias al que hubiese sido efectivamente convocada.","Sí, salvo que el tribunal aprecie, y así lo razone, que el caso presentaba serias dudas de hecho o de derecho.","No, Carla podrá ser condenada en costas pues el Tribunal podrá acordar, en decisión debidamente motivada, condenar en costas a la parte que no hubiera acudido, sin causa que los justifique, a un medio adecuado de solución de controversias cuando fuera legalmente preceptivo, aun cuando la demanda hubiera sido desestimada en su favor.","b","Comun"
"Cristina, profesional de la abogacía, es designada como abogada de oficio en el marco de la asistencia jurídica gratuita reconocida a su cliente. Transcurridos dos meses desde su designación, sin haber realizado ninguna actuación previa, advierte que la pretensión que su cliente pretende hacer valer es insostenible. ¿Qué debe hacer Cristina?","Queda obligada a asumir la defensa.","Debe comunicarlo a la Comisión de Asistencia Jurídica Gratuita, exponiendo los motivos jurídicos en los que fundamenta su decisión.","Puede abandonar la defensa, comunicándolo a su cliente y a la Comisión de Asistencia Jurídica Gratuita.","Debe ponerlo en conocimiento del Colegio de la Abogacía que la designó, exponiendo los motivos jurídicos en los que fundamenta su decisión.","a","Comun"
"¿El derecho a la asistencia jurídica gratuita comprende la asistencia jurídica gratuita de profesional de la abogacía en cualquiera de los medios adecuados de solución de controversias que tenga por objeto dar cumplimiento al requisito de procedibilidad dispuesto en el artículo 5 de la Ley Orgánica de medidas de eficiencia del Servicio Público de Justicia?","Sí, siempre y cuando en el eventual proceso judicial la intervención del profesional de la abogacía sea legalmente preceptiva o cuando, no siéndolo, la parte contraria actúe con él.","Sí, pero únicamente cuando en el eventual proceso judicial la intervención del profesional de la abogacía sea legalmente preceptiva.","No, el derecho a la asistencia jurídica gratuita se limita al procedimiento judicial cuando la intervención de estos profesionales sea legalmente preceptiva, sin extenderse a los medios previos adecuados de solución de controversias.","Sí, en todo caso, con independencia de que en el eventual proceso judicial la intervención del profesional de la abogacía sea legalmente preceptiva o de que, no siéndolo, la parte contraria actúe con él.","a","Comun"
"Tras haber sido reconocido el derecho a la asistencia jurídica gratuita se advierte que Carmen, solicitante de la misma, ha incurrido en ocultación de datos, siendo estos determinantes para el reconocimiento del derecho a su favor. ¿Qué consecuencia se produce?","La Comisión de Asistencia Jurídica Gratuita revocará el reconocimiento del derecho, previa audiencia a Carmen, mediante resolución motivada, llevando tal revocación consigo la obligación del pago de todos los honorarios o derechos devengados por los profesionales intervinientes desde la concesión del derecho.","El derecho a la asistencia jurídica gratuita se mantendrá, al no ser posible su revocación, sin perjuicio de las consecuencias penales a las que pueda enfrentarse la beneficiaria.","La Comisión de Asistencia Jurídica Gratuita revocará automáticamente el reconocimiento del derecho, sin previa audiencia a Carmen, condenando a ésta a abonar los honorarios o derechos de los profesionales que hubieran intervenido desde que el derecho se reconoció.","El derecho a la asistencia jurídica gratuita se mantendrá, pues la Comisión de Asistencia Jurídica Gratuita únicamente puede revocar el reconocimiento en caso de falseamiento de datos, pero no por su ocultación.","a","Comun"
"Carlos, profesional de la abogacía, es sancionado por una infracción leve relacionada con una actuación desarrollada en la prestación de los servicios del Turno de Oficio. ¿Puede imponerse a Carlos la exclusión de los servicios del turno de oficio?","No, únicamente las sanciones que se impongan por infracciones graves o muy graves relacionadas con actuaciones desarrolladas en la prestación de los servicios del turno de oficio pueden llevar aparejada la exclusión del profesional de la abogacía de dichos servicios.","Sí, la sanción que se imponga por infracción leve relacionada con actuaciones desarrolladas en el turno de oficio llevará aparejada, en todo caso, la exclusión del profesional de la abogacía de dichos servicios por un plazo mínimo de seis meses.","Sí, podrá imponerse la exclusión del profesional de la abogacía de dichos servicios por un plazo no superior a un año.","Sí, podrá imponerse la exclusión del profesional de la abogacía de dichos servicios por un plazo no superior a seis meses.","d","Comun"
"Un profesional de la abogacía advierte que la sentencia dictada en un procedimiento en el que intervino en defensa de su cliente contiene conceptos oscuros, razón esta por la que solicita la aclaración de la misma. La sentencia es susceptible de recurso de apelación. ¿Debe tal profesional interponer tal recurso de apelación con anterioridad a que se resuelva su solicitud a efectos de evitar que transcurra el plazo para su interposición?","Sí, el plazo para la interposición del recurso continúa corriendo pese a la solicitud de aclaración formulada.","Sí, el plazo para la interposición del recurso únicamente habría quedado en suspenso de haber solicitado la rectificación de la sentencia, pero no por la solicitud de aclaración.","No, el plazo para la interposición del recurso quedó interrumpido desde la solicitud de aclaración.","Una vez transcurran diez días desde la solicitud formulada sin haber sido resuelta la misma comenzará a computarse el plazo para la interposición del recurso, debiendo proceder entonces a la interposición del mismo.","c","Comun"
"En relación con las cuestiones incidentales de previo pronunciamiento, ¿cuál de las siguientes afirmaciones es correcta?","Las cuestiones incidentales serán de previo pronunciamiento si exigen que el tribunal decida sobre ellas separadamente en la sentencia antes de entrar a resolver sobre lo que sea objeto principal del pleito.","Las cuestiones incidentales de previo pronunciamiento no suspenderán el curso ordinario del proceso.","Las cuestiones incidentales de previo pronunciamiento son aquellas que, por su naturaleza, suponen un obstáculo a la continuación del juicio por sus trámites ordinarios, razón esta por la que se suspenderá el curso de las actuaciones hasta que sean resueltas.","En ningún caso se considerará como cuestión incidental de previo pronunciamiento aquella que se refiera a incidencias que ocurran durante el juicio aun cuando su resolución sea absolutamente necesaria para decidir sobre su continuación o terminación.","c","Comun"
"Los titulares del derecho de defensa, ¿tienen derecho a ser informados por el profesional de la abogacía que asuma su defensa de las estrategias procesales más adecuadas?","Sí.","Este derecho es reconocido únicamente en el ámbito penal.","No. El profesional de la abogacía tiene derecho a utilizar la estrategia profesional más adecuada sin obligación de informar a su cliente, siempre que actúe de la forma más adecuada y favorable a los intereses de éste.","No. El derecho a la información del titular del derecho de defensa se limita al estado del asunto en el que el profesional de la abogacía está interviniendo y las incidencias y resoluciones relevantes que se produzcan, pero no se extiende al conocimiento de la estrategia procesal.","a","Comun"
"¿Cuál es la finalidad de los servicios de orientación jurídica organizados por los Colegios de la Abogacía?","Exclusivamente prestar a las personas información relativa a los requisitos para el acceso al sistema de asistencia jurídica gratuita.","Prestar a las personas toda la información relativa a la prestación de asistencia jurídica gratuita, con excepción de la información relativa a los requisitos para el acceso al sistema de asistencia jurídica gratuita, que corresponderá a la Comisión de Asistencia Jurídica Gratuita.","Prestar a las personas toda la información relativa a la prestación de asistencia jurídica, y en particular los requisitos para el acceso al sistema de asistencia jurídica gratuita.","Informar de los costes generales de un proceso particular y del procedimiento para la fijación de los honorarios profesionales.","c","Comun"
"¿Cabe acudir a la revisión de sentencias firmes cuando el Tribunal Europeo de Derechos Humanos haya declarado que una resolución ha sido dictada en violación de alguno de los derechos reconocidos en el Convenio Europeo para la Protección de los Derechos Humanos y Libertades Fundamentales y sus Protocolos?","No, solo puede acudirse a esta vía en los supuestos y en los casos previstos en la normativa española entre los cuales no se encuentra este.","Si, siempre que la violación, por su naturaleza y gravedad, entrañe efectos que persistan y no puedan cesar de ningún otro modo que no sea mediante esta revisión.","No, en ningún caso pueden impugnarse sentencias firmes.","No, las resoluciones del Tribunal Europeo de Derechos Humanos solo afectan a los Estados y no a los particulares.","b","Comun"
"¿Para el conocimiento de cuál de los siguientes asuntos será competente la Sección de Instrucción del Tribunal Central de Instancia?","Para la ejecución de las sentencias dictadas en causas por delito grave por la propia Sección.","Para el conocimiento de los procedimientos de decomiso autónomo por los delitos para cuyo conocimiento sea competente la Sección de lo Penal del Tribunal Central de Instancia.","Para la tramitación de los expedientes de ejecución de las órdenes europeas de detención y entrega.","Para el conocimiento de las causas que le atribuya la legislación reguladora de la responsabilidad penal de los menores.","c","Comun"
"Raúl traslada al profesional de la abogacía que le asiste su interés en interponer recurso de amparo constitucional, por considerar que un acto de un órgano judicial, en un procedimiento judicial en que fue parte, ha lesionado su derecho fundamental a la tutela judicial efectiva. ¿Qué requisito debe cumplirse, necesariamente, para que la violación de un derecho fundamental, que tuviera su origen inmediato y directo en un acto de un órgano judicial, pueda dar lugar al recurso de amparo?","Que no se hayan agotado todos los medios de impugnación previstos por las normas procesales para el caso concreto dentro de la vía judicial.","Que se haya denunciado formalmente en el proceso, si hubo oportunidad, la vulneración del derecho constitucional tan pronto como, una vez conocida, hubiera lugar a ello.","Que la violación sea imputable a los hechos que dieron lugar al proceso en que aquella se produjo, debiendo el Tribunal Constitucional entrar a conocer sobre tales hechos.","Que se interponga en el plazo de dos meses, a partir de la notificación de la resolución recaída en el proceso judicial.","b","Comun"
"¿En qué lugares existirá una Oficina de Justicia en el Municipio?","En cada municipio en que tenga su sede un Tribunal de Instancia.","En cada municipio donde no tenga su sede un Tribunal de Instancia.","En cada municipio, tenga o no su sede un Tribunal de Instancia.","En la Villa de Madrid.","b","Comun"
