# 2024.1 laboral (comprobado)
pregunta,a,b,c,d,correcta,materia
"Markel, que tiene quince años y vive con sus padres, recibe una oferta de trabajo del gimnasio al que acude a entrenar. Le proponen prestar servicios a tiempo parcial como monitor los fines de semana. ¿Puede Markel suscribir este contrato de trabajo?","Sí. Markel puede suscribir el contrato de trabajo por sí mismo.","Sí. Al ser mayor de catorce años puede firmar el contrato de trabajo siempre que cuente con el consentimiento de sus padres.","No. Markel no puede firmar ningún contrato de trabajo al ser menor de dieciséis años.","Sí. Markel podrá contratar la prestación de sus servicios como monitor, aun siendo menor de dieciséis años, al ser un contrato a tiempo parcial.","c","Laboral"
"La carpintería XXX S.L. acude a su despacho porque quiere contratar un aprendiz del oficio y desea consultar si debe cumplir alguna exigencia formal. Indique la respuesta correcta.","No. El contrato se podrá celebrar por escrito o de palabra.","Sí. Los contratos de aprendizaje deben constar por escrito, en todo caso.","Solo debería constar por escrito si se celebra para prestar servicios a tiempo completo.","Solo debería constar por escrito si su duración se prevé superior a cuatro semanas.","b","Laboral"
"¿En los contratos de formación en alternancia puede la empresa imponer a los trabajadores la realización de trabajos nocturnos?","Las personas contratadas en virtud de contrato de formación en alternancia se someten en esta cuestión al mismo régimen que el resto de los trabajadores de la plantilla, sea cual sea la naturaleza de su contrato.","Las personas contratadas con contrato de formación en alternancia no podrán realizar trabajos nocturnos, ni trabajo a turnos, salvo que por la naturaleza de la actividad el plan formativo no pueda desarrollarse en otros periodos.","Si las necesidades de la empresa lo requieren por razones organizativas o productivas se le puede exigir trabajar en turno de noche pero, en ningún caso trabajar a turnos.","Si el empleado en virtud de un contrato de formación presta su consentimiento nada impide que trabaje en horario nocturno.","b","Laboral"
"Ana María, empleada de la mercantil HHH S.L. en su sede de Sevilla, recibe comunicación de que en el plazo de quince días deberá prestar sus servicios en el centro de trabajo que la empresa tiene en Huelva, como consecuencia de la necesidad de cubrir las vacaciones de sus compañeros durante un periodo de dos meses. Indique la respuesta correcta.","Se considera que ha habido un traslado por lo que la decisión debería ser notificada por la empresa con una antelación mínima de treinta días a la fecha de su efectividad.","Se considera que hay una modificación sustancial de las condiciones de trabajo por lo que puede pedir la extinción de la relación laboral con una indemnización equivalente a la prevista para un despido improcedente.","Se considera un desplazamiento temporal por el que Ana María tiene derecho a percibir los gastos de viaje y las dietas y podrá disfrutar de un permiso de cuatro días laborables en su domicilio de origen en este periodo.","Se considera un desplazamiento temporal por el que la empresa deberá pagar a Ana las dietas y gastos de viaje.","d","Laboral"
"La empresa YYY S.L. precisa contratar un nuevo empleado que sustituya temporalmente a Elisa, trabajadora fija que ha sido elegida diputada en las últimas elecciones generales. Dadas las características del puesto a ocupar, el gerente de la empresa acude a su despacho preguntando si puede permanecer Elisa el tiempo necesario para enseñar a quien se pretende contratar.","La prestación de servicios del nuevo empleado podrá iniciarse antes de que se produzca la ausencia de la persona sustituida, coincidiendo en el desarrollo de las funciones el tiempo imprescindible para garantizar el desempeño adecuado del puesto y, como máximo, durante quince días.","La prestación de servicios del nuevo empleado podrá iniciarse antes de que se produzca la ausencia de la persona sustituida, coincidiendo en el desarrollo de las funciones el tiempo imprescindible para garantizar el desempeño adecuado del puesto y, como máximo, durante veinte días.","La prestación de servicios del nuevo empleado podrá iniciarse antes de que se produzca la ausencia de la persona sustituida, coincidiendo en el desarrollo de las funciones el tiempo imprescindible para garantizar el desempeño adecuado del puesto y, como máximo, durante treinta días.","No es posible la prestación simultánea de servicios por ambas personas.","a","Laboral"
"Meritxell presta servicios como personal laboral para la Diputación Foral de Álava y decide solicitar una reducción de jornada para conciliar su vida familiar y laboral. ¿Cuál será el orden jurisdiccional competente para conocer de su demanda?","La competencia para conocer de esta demanda corresponderá al orden jurisdiccional social al tratarse de personal laboral al servicio de una Administración pública.","La competencia para conocer de esta demanda corresponderá al orden jurisdiccional contencioso-administrativo ya que el empleador es una Administración pública.","La competencia para conocer de esta demanda corresponderá al orden jurisdiccional civil.","La competencia corresponderá a la Sala de lo Social del Tribunal Supremo.","a","Laboral"
"El Real Decreto-ley 6/2023, de 19 de diciembre, por el que se aprueban medidas urgentes para la ejecución del Plan de Recuperación, Transformación y Resiliencia en materia de servicio público de justicia, función pública, régimen local y mecenazgo, ha introducido modificaciones en el proceso monitorio. Indique la respuesta correcta.","Si no hubiera sido posible notificar personalmente al demandado el requerimiento de pago, la comunicación edictal bastará para que pueda dictarse orden general de ejecución.","Se ha elevado la cuantía del proceso de seis mil a quince mil euros.","Se ha elevado la cuantía de seis mil a dieciocho mil euros.","Se recoge expresamente la necesidad de mediación o conciliación previa.","b","Laboral"
"El Real Decreto-ley 6/2023, de 19 de diciembre, por el que se aprueban medidas urgentes para la ejecución del Plan de Recuperación, Transformación y Resiliencia en materia de servicio público de justicia, función pública, régimen local y mecenazgo, introduce en la Ley reguladora de la jurisdicción social la figura del pleito testigo. Indique la respuesta correcta.","El Juez o Tribunal ante quien estuviera pendiente una pluralidad de procesos con idéntico objeto y misma parte demandada, concurriendo los requisitos exigidos en el artículo 86 bis de la Ley, tramitará el pleito testigo, solo si media solicitud de parte.","El Juez o Tribunal ante quien estuviera pendiente una pluralidad de procesos con idéntico objeto y misma parte demandada, concurriendo los requisitos exigidos en el artículo 86 bis de la Ley, tramitará preceptivamente el pleito testigo, previa audiencia de las partes.","La preferencia de uno o varios procesos respecto al resto se realiza teniendo en cuenta la materia sobre la que versen.","La sentencia dictada en el pleito testigo será recurrible en suplicación solo si procede por razón de la cuantía o de la materia.","b","Laboral"
"Si una empresa cuenta con veintiocho empleados, ¿a quién corresponde la representación de éstos para la defensa de sus intereses?","A los delegados de personal en número de tres.","A un solo delegado de personal.","Al comité de empresa con un máximo de tres miembros.","Al comité de empresa con un máximo de trece miembros.","b","Laboral"
"El comité de empresa tiene derecho a ser informado por el empresario acerca de las estadísticas sobre el índice de absentismo y las causas, los accidentes de trabajo y enfermedades profesionales y sus consecuencias, los índices de siniestralidad, los estudios periódicos o especiales del medio ambiente laboral y los mecanismos de prevención que se utilicen. ¿Con qué frecuencia?","Con una periodicidad mensual.","Con una periodicidad trimestral.","Con una periodicidad quincenal.","Una vez al año.","b","Laboral"
"Joan sufrió un accidente laboral por el que ha permanecido trescientos sesenta y cinco días en situación de incapacidad temporal. Pese a que no se encuentra completamente curado de sus lesiones recibe el alta médica, por lo que acude a su despacho para pedir que presente una demanda de impugnación de dicha alta médica. ¿Puede hacerlo directamente ante el Juzgado de lo Social o es imprescindible algún trámite previo?","Puede hacerlo directamente.","Es preceptivo presentar papeleta de conciliación ante el servicio administrativo correspondiente.","Es preceptivo presentar reclamación previa en vía administrativa ante la Entidad Gestora.","Es necesario que previamente dirija escrito a la empresa manifestando su disconformidad.","a","Laboral"
"En el trámite de proposición de prueba durante la vista la abogada de la empresa demandada propone la reproducción en el acto de la grabación de unas imágenes tomadas en el centro de trabajo sin conocimiento ni consentimiento de la plantilla de la empresa. Usted, que defiende los intereses de la persona trabajadora en dicho juicio, no está de acuerdo por entender que se ha podido vulnerar un derecho fundamental en la obtención de dicha prueba. ¿Cómo debe proceder?","Si entiende que en la obtención de la prueba se han podido vulnerar derechos fundamentales o libertades públicas, deberá formular protesta formal, una vez que sea admitida por el órgano judicial.","Si entiende que en la obtención de la prueba se han podido vulnerar derechos fundamentales o libertades públicas, esta cuestión deberá suscitarse en el momento de la proposición de prueba y el Juez o Tribunal, tras oír a las partes y, en su caso, practicar prueba, resolverá en el acto. Contra esta resolución no cabe recurso.","Las cuestiones relativas a vulneración de derechos fundamentales y libertades públicas en la obtención de las pruebas en el proceso laboral deberán plantearse en el momento de anunciar recurso de suplicación.","Si entiende que en la obtención de la prueba se han podido vulnerar derechos fundamentales o libertades públicas, esta cuestión deberá suscitarse en el momento de la proposición de prueba, y el Juez o Tribunal, tras oír a las partes y, en su caso, practicar prueba sobre este extremo, resolverá en el acto. Contra esta resolución solo cabrá recurso de reposición que se resolverá oralmente.","d","Laboral"
