pregunta,a,b,c,d,correcta,tipo
"1 – Según lo dispuesto en el artículo 48 del Estatuto General de la Abogacía, el profesional de la Abogacía debe facilitar al cliente:","Únicamente su nombre, número de identificación fiscal, domicilio profesional y medio para ponerse en comunicación con él o con su despacho, incluyendo la vía electrónica.","Su nombre, número de identificación fiscal, Colegio al que pertenece y número de colegiado, domicilio profesional, domicilio particular y medio para ponerse en comunicación con él o con su despacho, incluyendo la vía electrónica.","Su nombre, número de identificación fiscal, Colegio al que pertenece y número de colegiado, domicilio profesional y medio para ponerse en comunicación con él o con su despacho, incluyendo la vía electrónica.","Su nombre, número de identificación fiscal, Colegio al que pertenece y número de colegiado, Universidad en la que cursó sus estudios, domicilio profesional y medio para ponerse en comunicación con él o con su despacho, incluyendo la vía electrónica.",c,COMUN
"2 – De conformidad con lo dispuesto en el artículo 59 del Estatuto General de la Abogacía, los profesionales de la Abogacía están obligados en las relaciones con otros compañeros a:","Abstenerse de pedir la declaración testifical del profesional de la Abogacía de la parte contraria o de otros profesionales de la Abogacía que hubieran tenido alguna implicación profesional en el asunto.","Comunicar al Colegio la intención de interponer, en nombre propio o del cliente, una acción de responsabilidad contra otro profesional de la Abogacía únicamente cuando tenga carácter penal.","Comunicar el cese o interrupción de las negociaciones extrajudiciales antes o después de presentar reclamación judicial o, en su caso, de solicitar la ejecución de una resolución.","Atribuirse facultades distintas de las conferidas por el cliente, siempre que sea en interés de éste.",a,COMUN
"3 – Son principios rectores y valores superiores específicos del ejercicio de la Abogacía:","Exclusivamente, la autonomía, igualdad, justicia, libertad, dignidad e integridad, así como el respeto del secreto profesional.","La independencia, libertad, dignidad e integridad, así como el respeto del secreto profesional.","Los mismos que los previstos para el Ministerio Fiscal, salvo el de legalidad e imparcialidad.","Únicamente, la independencia, libertad, dignidad, imparcialidad y el respeto del secreto profesional.",b,COMUN
"4 – ¿Por cuál de las siguientes causas no puede el profesional de la Abogacía solicitar la suspensión del curso del procedimiento?","Por fallecimiento, accidente o enfermedad grave de pariente dentro del tercer grado de consanguinidad o afinidad.","Por fallecimiento, accidente o enfermedad grave, de persona a la que estuviera unido por análoga relación de afectividad a la del matrimonio.","Por fallecimiento, accidente o enfermedad grave de su cónyuge.","Por fallecimiento, accidente o enfermedad grave de pariente dentro del segundo grado de consanguinidad.",a,COMUN
"5 – ¿Durante qué plazo se producirá la suspensión del curso del procedimiento, en los casos en los que ésta haya sido solicitada por un profesional de la Abogacía debido al fallecimiento de su abuelo materno?","Tres días naturales a contar desde el día siguiente al hecho causante, plazo que podrá ser de hasta cinco días naturales cuando a tal efecto sea preciso un desplazamiento a otra localidad.","Tres días hábiles a contar desde el día siguiente al hecho causante, plazo que podrá ser de hasta cinco días hábiles cuando a tal efecto sea preciso un desplazamiento a otra localidad.","Dos días naturales a contar desde el día siguiente al hecho causante, plazo que podrá ser de hasta cuatro días naturales cuando a tal efecto sea preciso un desplazamiento a otra localidad.","Dos días hábiles a contar desde el día siguiente al hecho causante, plazo que podrá ser de hasta cuatro días hábiles cuando a tal efecto sea preciso un desplazamiento a otra localidad.",d,COMUN
"6 – ¿En cuál de los siguientes supuestos tienen derecho los profesionales de la Abogacía a solicitar la posible interrupción de los plazos y demora de los términos?","En ninguno, pues los plazos procesales son improrrogables en todo caso.","En caso de fallecimiento de un hermano de un solo vínculo.","En caso de fallecimiento de un tío.","En ninguno, pues los plazos procesales son improrrogables, sin perjuicio de solicitar la suspensión del curso del procedimiento en los casos legalmente previstos.",b,COMUN
"7 – Los Colegios de la Abogacía son:","Corporaciones de Derecho Público.","Consorcios.","Corporaciones de Derecho Privado.","Autoridades Administrativas Independientes.",a,COMUN
"8 – ¿Cómo afecta al ámbito territorial de un Colegio de la Abogacía el hecho de que las demarcaciones judiciales existentes en su territorio de actuación sean objeto de modificación?","Dependerá de lo que se haya previsto en la ley que modifique la demarcación y planta judicial.","Implicará necesariamente una limitación de su ámbito territorial.","De ninguna forma pues la modificación de las demarcaciones judiciales no afectará al ámbito territorial del Colegio de la Abogacía, que tendrá competencia en las nuevas demarcaciones que puedan crearse.","Obligará al Colegio de la Abogacía a crear una sección especializada para atender a las necesidades de servicio que la demarcación judicial resultante de la modificación pueda tener durante un periodo de tres años.",c,COMUN
"9 – En defecto de otra regulación específica, ¿cuál de las siguientes opciones no constituye causa de cese para los miembros de la Junta de Gobierno de los Colegios de la Abogacía según lo dispuesto en el Estatuto General de la Abogacía?","Renuncia.","Pérdida de una cuestión de confianza, según lo regulado en el Estatuto General de la Abogacía.","Fallecimiento.","Falta de asistencia injustificada a tres sesiones consecutivas de la Junta de Gobierno o a cinco alternas en el término de un año, previo acuerdo de la propia Junta.",b,COMUN
"10 – Irune, Abogada en ejercicio, recibe una oferta de trabajo en el departamento legal de una gran empresa. En la entrevista con el área de recursos humanos le comunican que únicamente pueden ofrecerle una relación laboral de carácter especial dado que ésta es la única forma en la que se pueden contratar servicios por cuenta ajena de profesionales de la Abogacía. ¿Es correcta la afirmación del área de recursos humanos?","Sí, pues la Abogacía únicamente puede ejercerse en régimen de relación laboral especial o por cuenta propia.","No, pues la obligación de constituir relación especial de trabajo sólo rige en casos en los que el servicio pactado es en exclusividad, pero no en el resto de los casos.","No, pues es posible prestar servicio como profesional de la Abogacía en empresas en régimen de relación laboral común.","Sí, al estar contemplado expresamente en el Estatuto de los Trabajadores.",c,COMUN
