pregunta,a,b,c,d,correcta,materia
"Carla, profesional de la Abogacía, participa en un procedimiento de contratación sujeto a la legislación de contratos del sector público. ¿Puede Carla incluir en su historial profesional referencias a los clientes para los que ha prestado servicios?","En ningún caso.","Sí, siempre que los clientes no lo hayan prohibido expresamente y que se respete el deber de confidencialidad y la normativa sobre protección de datos personales, sin infringir el derecho a la intimidad de las personas físicas.","Sí, aun cuando los clientes lo hayan prohibido expresamente, al tratarse de servicios prestados por ella misma.","Única y exclusivamente cuando los clientes lo hubieran autorizado expresamente al tiempo de ser prestados los servicios.",b,Deontología y EGAE
"Carmen, profesional de la Abogacía, tiene intención de interponer, en nombre de su cliente, una acción de responsabilidad civil derivada del ejercicio profesional contra su compañera Ana. ¿Tiene alguna obligación de comunicación con el Colegio?","No, pues únicamente habría estado obligada a comunicar al Colegio su intención de interponer la acción si la interpusiera en nombre propio.","No, pues únicamente está obligada a comunicar a Ana su intención de interponer la acción, sin que exista obligación de comunicación al Colegio.","Sí, está obligada a comunicar al Colegio la intención de interponer la acción.","No, pues únicamente habría estado obligada a comunicar al Colegio su intención de interponer una acción penal.",c,Deontología y EGAE
"Carlos presta sus servicios como profesional de la Abogacía a una empresa de servicios de arquitectura. ¿Está obligado a entregar factura al cliente de los servicios prestados?","Sí, deberá entregar factura al cliente que tendrá que cumplir con todos los requisitos legales y deberá expresar detalladamente los diferentes conceptos de los honorarios y la relación de gastos.","No, pues solo existiría obligación de entregar factura en el caso de servicios prestados por una sociedad profesional.","No, pues solo existiría obligación de entregar factura en el caso de servicios prestados a una persona física.","No, pues los profesionales de la Abogacía nunca tienen la obligación de entregar factura al cliente.",a,Deontología y EGAE
"Raúl, tras obtener el título profesional de abogado, quiere incorporarse al Ilustre Colegio de la Abogacía de Madrid como colegiado no ejerciente. Señale la respuesta correcta.","Para incorporarse como colegiado no ejerciente deberá carecer de antecedentes penales por delitos que lleven aparejada la imposición de penas graves.","Para incorporarse como colegiado no ejerciente deberá superar un examen psicotécnico específico para no ejercientes en el Ilustre Colegio de la Abogacía de Madrid.","Para incorporarse como colegiado no ejerciente deberá formalizar el alta en el Régimen de Seguridad Social que corresponda.","Para incorporarse como colegiado no ejerciente no es preciso cumplir ningún requisito adicional a la posesión del título profesional que le habilite para el ejercicio de la profesión de la Abogacía.",a,Deontología y EGAE
"Señale la consecuencia penal a que se enfrenta Blanca, profesional de la abogacía cuando, en un proceso judicial, en el ejercicio de sus funciones y con el fin de favorecer a su cliente, presenta a sabiendas un testigo falso.","Ninguna, pues la presentación a sabiendas de un testigo falso por un abogado en el ejercicio de sus funciones no está tipificada como delito en el Código Penal, sin perjuicio de la responsabilidad disciplinaria a que pudiera dar lugar.","Podrá ser condenada por un delito de obstrucción a la justicia.","Podrá ser castigada con la misma pena prevista para el testigo que faltare a la verdad en su testimonio, en su mitad superior.","Podrá ser castigada con la misma pena prevista para el testigo que faltare a la verdad en su testimonio, en su mitad inferior.",c,Responsabilidad Penal del Abogado
"Adrián pretende el ejercicio de una acción penal por una negligencia médica. Marta, profesional de la abogacía, aprecia la casi segura inexistencia de responsabilidad penal y propone la reclamación por vía civil. Adrián insiste en la presentación de la querella. ¿Qué debe hacer Marta?","Atender el deseo de su cliente pese a su convicción del fracaso de la acción penal, pero advirtiéndole por escrito de las nulas posibilidades de éxito, con lo que salvaría su responsabilidad.","Atender el deseo de su cliente, porque prevalece el derecho de defensa y el letrado debe tratar a su cliente con base en el principio de confianza, esencial en el ejercicio de la abogacía.","El ejercicio de la abogacía no es un contrato de mandato, por lo que ante simples decisiones técnicas como la planteada, el letrado puede imponer su criterio, acudiendo a la reclamación por vía civil que rechaza Adrián, incluso contra el criterio del cliente.","Puede negarse a presentar la querella, porque el letrado no está obligado a aceptar el encargo y puede rechazar las instrucciones que, en contra de los propios criterios profesionales, pretenda imponer el cliente.",d,Deontología y EGAE
"Señale cuál de las siguientes conductas, cometida por un profesional de la Abogacía, constituye una infracción muy grave.","No comunicar al Colegio el cambio de domicilio profesional.","El abandono de la defensa que le haya sido confiada cuando se cause indefensión al cliente.","La embriaguez cuando afecte al ejercicio de la profesión.","Comprometer en sus comunicaciones con el profesional de la abogacía de la parte contraria al propio cliente con comentarios que puedan causarle desprestigio.",b,Régimen Disciplinario
"Señale cuál de las siguientes circunstancias dará lugar a la pérdida de la condición de colegiado.","La comisión por el colegiado de cualquier infracción, de manera automática y con independencia de la sanción impuesta.","La falta de pago de dos mensualidades de la cuota obligatoria.","La sanción de expulsión del Colegio acordada por resolución firme en expediente disciplinario.","La imposición de una sanción de multa pecuniaria.",c,Régimen Disciplinario
"Señale qué derecho, en relación con el ejercicio de la abogacía, reconoce la Constitución Española de 27 de diciembre de 1978.","Todas las personas tienen derecho a la defensa y a la asistencia de letrado.","El profesional de la abogacía tiene derecho al reintegro de los gastos ocasionados.","Únicamente los españoles tienen derecho a la defensa y a la asistencia de letrado.","Los extranjeros tendrán, en todo caso, derecho a la asistencia gratuita de letrado.",a,Derecho Constitucional
"Los Tribunales Superiores de Justicia tienen jurisdicción:","En el ámbito territorial de su respectiva Comunidad Autónoma.","En el ámbito territorial de su respectiva provincia.","En el ámbito territorial de su respectivo partido.","En toda España.",a,Organización Judicial
"Los Juzgados Centrales de lo contencioso-administrativo tienen su sede:","En la ciudad de Sevilla.","Existirá una sede en todas y cada una de las Comunidades Autónomas.","En el lugar que se establezca por el Gobierno en cada legislatura, oído previamente el Consejo General del Poder Judicial.","En la villa de Madrid.",d,Organización Judicial
