# 2021.2 laboral 
pregunta,a,b,c,d,correcta,bloque
"Carlos, de diecisiete años que vive de forma independiente, firma un contrato con la autorización de sus padres. La empresa le pide que realice horas extraordinarias. Indique la respuesta correcta.","El contrato de Carlos es nulo ya que los menores de edad tienen prohibida la admisión al trabajo.","Carlos deberá realizar las horas extraordinarias si lo autoriza la autoridad laboral.","Carlos no podrá realizar horas extraordinarias.","Carlos podrá realizar horas extraordinarias si sus padres lo autorizan.","c","Derecho Laboral"
"Jaume cursa formación profesional del sistema educativo y le ofrecen un contrato para la formación y el aprendizaje. ¿Cuál es la duración máxima de este tipo de contrato?","La duración máxima será de tres años.","La duración máxima será de dos años.","La duración máxima será de un año.","La duración máxima será únicamente la que se determine por convenio colectivo.","a","Derecho Laboral"
"Lucía ha firmado un contrato en el que parte de su salario lo percibirá en especie. ¿Qué porcentaje de las percepciones salariales puede percibir de este modo?","El salario en especie podrá ser el porcentaje que se determine mediante convenio colectivo.","El salario en especie podrá ser el porcentaje que libremente se determine en el contrato individual.","El salario en especie en ningún caso podrá superar el treinta por ciento de las percepciones salariales del trabajador.","El salario en especie en ningún caso podrá superar el veinte por ciento de las percepciones salariales del trabajador.","c","Derecho Laboral"
"Raquel ha sido elegida para un cargo público que le imposibilita la asistencia al trabajo y pasa a excedencia forzosa. Transcurrido un año y dos meses cesa en el cargo y solicita el reingreso dentro del mes siguiente. ¿Tiene derecho al reingreso en su mismo puesto?","No, solo conserva un derecho preferente al reingreso en vacantes de igual o similar categoría.","No, solo tenía derecho a la reserva de su puesto durante el primer año.","Sí, ya que tenía derecho a la conservación del puesto de trabajo.","Sí, siempre que no se hubiera ocupado por un contrato de interinidad.","c","Derecho Laboral"
"La dirección de la empresa ha notificado a Mariana la modificación de su horario alegando motivos técnicos y organizativos. Mariana está disconforme y no quiere aceptarla. ¿Qué puede hacer?","Mariana podrá solicitar la extinción de su contrato, pero no tendrá derecho a indemnización alguna.","Mariana puede optar entre rescindir el contrato percibiendo una indemnización de treinta y tres días de salario por año de servicio con un máximo de veinticuatro mensualidades o impugnar la decisión ante la jurisdicción social.","Mariana puede optar entre rescindir su contrato percibiendo una indemnización de veinte días de salario por año de servicio con un máximo de nueve mensualidades o impugnar la decisión ante la jurisdicción social.","Mariana deberá aceptar la modificación si la empresa se lo ha notificado con una antelación mínima de quince días.","c","Derecho Laboral"
"¿En alguna de las siguientes situaciones puede suspenderse el contrato de trabajo con exoneración de las obligaciones recíprocas de trabajar y remunerar el trabajo?","Durante las vacaciones.","Durante la incapacidad temporal del trabajador.","Durante el descanso entre jornadas.","Durante el descanso de fin de semana.","b","Derecho Laboral"
"Montse ha sido sancionada por la dirección de la empresa por una falta grave al incurrir en un incumplimiento de sus obligaciones laborales. ¿Cuándo prescribe esta falta?","A los veinte días a partir de la fecha de la comunicación escrita al trabajador y, en todo caso, a los seis meses de haberse cometido.","A los sesenta días a partir de la fecha de la comunicación escrita al trabajador y, en todo caso, a los seis meses de haberse cometido.","A los veinte días a partir de la fecha en que la empresa tuvo conocimiento de su comisión y, en todo caso, a los seis meses de haberse cometido.","A los sesenta días a partir de la fecha en que la empresa tuvo conocimiento de su comisión y, en todo caso, a los seis meses de haberse cometido.","c","Derecho Laboral"
"En una empresa que cuenta con cuarenta y dos trabajadores se va a proceder a la elección de los órganos de representación. ¿A quién corresponde dicha representación?","A los delegados de personal en número de tres.","A un solo delegado de personal.","Al comité de empresa con un máximo de tres miembros.","Al comité de empresa con un máximo de trece miembros.","a","Derecho Laboral"
"En la empresa se han celebrado elecciones de miembros del comité de empresa, pero un sindicato considera que ha habido irregularidades y quiere impugnar el procedimiento electoral. ¿Cuál es la tramitación que debe seguirse?","Las impugnaciones en materia electoral, en todos los casos, se tramitarán directamente ante la jurisdicción social.","Las impugnaciones en materia electoral en todos los casos se tramitarán conforme al procedimiento arbitral previsto en el ET.","Las impugnaciones en materia electoral se tramitarán conforme al procedimiento arbitral regulado en el ET, con excepción de las denegaciones de inscripción, cuyas reclamaciones podrán plantearse directamente ante la jurisdicción social.","Las impugnaciones en materia electoral se tramitarán conforme al procedimiento arbitral regulado en el ET, con excepción de las relativas a las actuaciones de la mesa electoral por vicios graves que pudieran afectar a las garantías del proceso electoral.","c","Derecho Laboral"
"¿Cuál es el plazo de vigencia de los convenios colectivos?","Los convenios colectivos tendrán la duración que las partes negociadoras establezcan en el propio convenio.","Todos los convenios colectivos tendrán una duración máxima de un año.","Todos los convenios colectivos tendrán una duración máxima de cinco años.","Los convenios colectivos tendrán una duración indeterminada hasta que medie denuncia expresa de una de las partes.","a","Derecho Laboral"
